channel,sessions,users,bounce_rate,pages_per_session,buying_sessions,orders,revenue,new_visitor_share,session_share_%,revenue_share_%,conversion_rate_%,aov,revenue_per_session
Referral,104838,65661,25.98,6.75,5322,5543,651429.91,50.9,11.6,42.3,5.08,117.52,6.21
Direct,143026,109830,49.56,4.09,2061,2219,434840.55,74.7,15.83,28.24,1.44,195.96,3.04
Organic Search,381561,311607,48.32,4.11,3443,3581,326380.51,79.31,42.22,21.19,0.9,91.14,0.86
Display,6262,4103,35.87,5.46,143,152,78337.46,29.97,0.69,5.09,2.28,515.38,12.51
Paid Search,25326,18702,38.01,5.37,469,479,43558.9,62.24,2.8,2.83,1.85,90.94,1.72
Social,226117,212374,65.24,1.76,104,131,4916.54,92.89,25.02,0.32,0.05,37.53,0.02
Affiliates,16403,13400,53.05,2.89,9,9,597.38,76.25,1.82,0.04,0.05,66.38,0.04
(Other),120,90,46.67,3.68,1,1,9.99,20.83,0.01,0.0,0.83,9.99,0.08
