channel,sessions,product_view,add_to_cart,checkout,purchase,view_rate_%,cart_rate_%,checkout_rate_%,purchase_rate_%,overall_cvr_%
Referral,104838,27192,13517,8318,5322,25.94,49.71,61.54,63.98,5.08
Display,6262,1461,541,231,143,23.33,37.03,42.7,61.9,2.28
Paid Search,25326,5073,1902,771,469,20.03,37.49,40.54,60.83,1.85
Direct,143026,21110,9237,4340,2061,14.76,43.76,46.98,47.49,1.44
Organic Search,381561,62659,22375,8198,3443,16.42,35.71,36.64,42.0,0.9
(Other),120,18,4,3,1,15.0,22.22,75.0,33.33,0.83
Affiliates,16403,1862,796,138,9,11.35,42.75,17.34,6.52,0.05
Social,226117,4813,1767,408,104,2.13,36.71,23.09,25.49,0.05
